이름,칼로리,탄수화물,단백질,지방,콜레스테롤,나트륨,명수
달걀찜,762.58,15.58,46.12,57.1,1378.77,570.5,2
치킨스테이크,1426.3,127.602,92.494,64.48,75.25,3098.59,1
돼지갈비찜,4656.81,129.8,303.91,317.26,1200.35,8095.05,3
된장찌개,423.3,42.47,18.23,7.036,0,4604.05,1
어묵전골,455.38,61.69,18.54,0.78,8.89,11763.92,1
스크램블 에그,467.96,5.57,25.71,38.67,816.9,1660.2,1
달걀볶음밥,840,65.86,21.7,53.05,507.6,498.8,1
순두부찌개,891.78,33.19,66.28,55.35,588,4471.02,1
김치볶음밥,796.73,78.13,25.47,42.18,296.05,2064.55,1
크림파스타,975.98,95.11,38.2,94.09,97.45,1964.34,1
까르보나라,975.98,95.11,38.2,94.09,97.45,1964.34,1
달걀샌드위치 ,1452.12,82.08,76.24,89.15,1621.2,3164.08,1
고등어 구이,379,0.7,35.18,25.19,120,822,1
LA갈비,676,4.24,45.08,52.3,162,919,1
오리구이,462,0,29.68,37.19,127,381,1
